matrix_id,market,location_name,location_slug,location_url,location_type,parent_location,source_cluster,location_launch_tier,location_index_status,location_priority_tags,location_service_matrix,location_commercial_matrix,location_validation_status,service_id,service_name,service_slug,service_type,service_family,service_launch_tier,service_source_status,service_matrix_rule,market_service_status,relationship_scope,matrix_status,index_recommendation,recommended_phase,canonical_url,matrix_reason
st-louis-mo::_market::svc-sewer-camera-inspection,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-sewer-camera-inspection,Sewer Camera Inspection,sewer-camera-inspection,core_service,inspection_diagnostics,launch,established_existing_service,full,confirmed,core,launch_candidate,index_launch_candidate,launch,/st-louis-mo/sewer-camera-inspection/,Location is launch-priority and the service relationship is eligible.
st-louis-mo::_market::svc-sewer-cleaning,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-sewer-cleaning,Sewer Cleaning,sewer-cleaning,core_service,cleaning,launch,established_existing_service,full,confirmed,core,launch_candidate,index_launch_candidate,launch,/st-louis-mo/sewer-cleaning/,Location is launch-priority and the service relationship is eligible.
st-louis-mo::_market::svc-hydro-jetting,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-hydro-jetting,Hydro Jetting,hydro-jetting,core_service,cleaning,launch,established_existing_service,full,confirmed,core,launch_candidate,index_launch_candidate,launch,/st-louis-mo/hydro-jetting/,Location is launch-priority and the service relationship is eligible.
st-louis-mo::_market::svc-sewer-cleaning-camera-inspection,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-sewer-cleaning-camera-inspection,Sewer Cleaning & Camera Inspection,sewer-cleaning-camera-inspection,core_service,inspection_diagnostics,launch,established_existing_service,full,confirmed,core,launch_candidate,index_launch_candidate,launch,/st-louis-mo/sewer-cleaning-camera-inspection/,Location is launch-priority and the service relationship is eligible.
st-louis-mo::_market::svc-sewer-line-locating,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-sewer-line-locating,Sewer Line Locating,sewer-line-locating,core_service,locating,launch,established_existing_service,full,confirmed,core,launch_candidate,index_launch_candidate,launch,/st-louis-mo/sewer-line-locating/,Location is launch-priority and the service relationship is eligible.
st-louis-mo::_market::svc-drain-cleaning,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-drain-cleaning,Drain Cleaning,drain-cleaning,core_service,cleaning,launch,established_existing_service,full,confirmed,core,launch_candidate,index_launch_candidate,launch,/st-louis-mo/drain-cleaning/,Location is launch-priority and the service relationship is eligible.
st-louis-mo::_market::svc-pre-purchase-sewer-inspection,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-pre-purchase-sewer-inspection,Pre-Purchase Sewer Inspection,pre-purchase-sewer-inspection,derived_service,inspection_diagnostics,launch,existing_use_case_promoted_to_standalone_page,full_on_residential_real_estate_locations,supported_by_existing_camera_service,derived_high_intent,selective_low_intent_fit,selective_candidate,selective,/st-louis-mo/pre-purchase-sewer-inspection/,"Pre-purchase inspection retained, but the location lacks a strong residential/real-estate signal."
st-louis-mo::_market::svc-recurring-sewer-backup-diagnosis,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-recurring-sewer-backup-diagnosis,Recurring Sewer Backup Diagnosis,recurring-sewer-backup-diagnosis,derived_service,inspection_diagnostics,launch_candidate,existing_use_case_promoted_to_standalone_page,full_on_residential_property_management_locations,supported_by_existing_combined_service,derived_high_intent,selective_low_intent_fit,selective_candidate,selective,/st-louis-mo/recurring-sewer-backup-diagnosis/,"Recurring-backup diagnosis retained, but the location lacks a strong matching intent signal."
st-louis-mo::_market::svc-preventative-sewer-maintenance,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-preventative-sewer-maintenance,Preventative Sewer Maintenance,preventative-sewer-maintenance,derived_service,maintenance,launch_candidate,existing_maintenance_use_case_promoted_to_standalone_page,selective,supported_by_existing_cleaning_and_hydro_jetting,derived_high_intent,selective_candidate,selective_candidate,selective,/st-louis-mo/preventative-sewer-maintenance/,Service registry marks this derived service for selective rather than automatic full-matrix expansion.
st-louis-mo::_market::svc-independent-sewer-second-opinion,st-louis-mo,"St. Louis, MO",,/st-louis-mo/,market_hub,,,1,launch,launch_priority,full,selective,market_confirmed_by_project_scope,svc-independent-sewer-second-opinion,Independent Sewer Inspection / Second Opinion,independent-sewer-inspection-second-opinion,derived_service,inspection_diagnostics,phase_2_candidate,existing_brand_differentiator_promoted_to_standalone_page,selective,supported_by_existing_brand_positioning,derived_high_intent,selective_candidate,selective_candidate,selective,/st-louis-mo/independent-sewer-inspection-second-opinion/,Service registry marks this derived service for selective rather than automatic full-matrix expansion.
